"Keyword","Search Volume","CPC","Competition","Level"
"prozessoptimierung",2900,3.8,0.19,"LOW"
"ki automatisierung",1600,7.41,0.63,"MEDIUM"
"ki-automatisierung",1600,7.41,0.63,"MEDIUM"
"kundenservice automatisieren",1300,25.89,0.04,"LOW"
"ki agentur",1000,13.13,0.54,"MEDIUM"
"künstliche intelligenz agentur",1000,13.13,0.54,"MEDIUM"
"chatgpt support",590,3.57,0.07,"LOW"
"ki im vertrieb",480,9.52,0.64,"MEDIUM"
"ki marketing",480,5.77,0.45,"MEDIUM"
"ki steuerberater",480,4.94,0.75,"HIGH"
"job prozessoptimierung",480,0.9,0.42,"MEDIUM"
"prozessoptimierung jobs",480,0.9,0.42,"MEDIUM"
"prozessoptimierung job",480,0.9,0.42,"MEDIUM"
"jobs prozessoptimierung",480,0.9,0.42,"MEDIUM"
"ki im handwerk",390,5.9,0.67,"HIGH"
"ki in der logistik",390,4.13,0.41,"MEDIUM"
"automatisierung marketing",320,9.91,0.11,"LOW"
"prozesse automatisieren",320,14.1,0.22,"LOW"
"chatgpt unternehmen",320,4.35,0.52,"MEDIUM"
"automatisierung logistik",260,8.87,0.23,"LOW"
"automatisierung produktion",260,13.5,0.16,"LOW"
"ki immobilien",260,5.16,0.28,"LOW"
"leadgenerierung b2b",260,26.77,0.2,"LOW"
"prozessoptimierung methoden",260,3.35,0.38,"MEDIUM"
"methode prozessoptimierung",260,3.35,0.38,"MEDIUM"
"prozessoptimierung methode",260,3.35,0.38,"MEDIUM"
"b2b leadgenerierung",260,27.11,0.2,"LOW"
"b2b-leadgenerierung",260,27.11,0.2,"LOW"
"chatgpt für unternehmen",260,5.51,0.79,"HIGH"
"ki für anwälte",210,5.58,0.8,"HIGH"
"ki logistik",210,5.8,0.27,"LOW"
"künstliche intelligenz logistik",210,5.8,0.27,"LOW"
"ki maschinenbau",170,3.77,0.28,"LOW"
"logistik prozessoptimierung",170,4.19,0.08,"LOW"
"beratung prozessoptimierung",170,6.33,0.15,"LOW"
"prozessoptimierung beratung",170,6.33,0.15,"LOW"
"prozessoptimierung logistik",170,4.19,0.08,"LOW"
"berater prozessoptimierung",170,6.33,0.15,"LOW"
"ki gesundheitswesen",140,3.4,0.31,"LOW"
"ki industrie",140,6.3,0.29,"LOW"
"ki handwerk",140,9.61,0.56,"MEDIUM"
"ki automatisierung agentur",140,13.72,0.74,"HIGH"
"ki-automatisierung agentur",140,13.72,0.74,"HIGH"
"prozessoptimierung weiterbildung",140,5.08,0.72,"HIGH"
"ki prozessoptimierung",140,8.11,0.3,"LOW"
"weiterbildung prozessoptimierung",140,5.08,0.72,"HIGH"
"künstliche intelligenz prozessoptimierung",140,8.11,0.3,"LOW"
